dataset,nmf,noise_type,noise_level,seed,rmse,acc,nmi
YaleB,L1NormRegularizedNMF,salt_and_pepper,0.02,3407,0.07371120196479732,0.15699815837937384,0.24174429371982906
ORL,L1NormRegularizedNMF,salt_and_pepper,0.1,0,0.09137266820437989,0.6444444444444445,0.7998721455791367
YaleB,L1NormRegularizedNMF,salt_and_pepper,0.1,0,0.07789529790583487,0.15791896869244937,0.21578433657896007
ORL,L1NormRegularizedNMF,salt_and_pepper,0.1,42,0.09201153373236962,0.6416666666666667,0.8136938659470576
YaleB,L1NormRegularizedNMF,salt_and_pepper,0.1,42,0.07470312860032056,0.14917127071823205,0.22000342290536154
ORL,L1NormRegularizedNMF,salt_and_pepper,0.1,99,0.0928560847832945,0.6111111111111112,0.7958081901606254
YaleB,L1NormRegularizedNMF,salt_and_pepper,0.1,99,0.07851955869085829,0.1477900552486188,0.22487145552351848
ORL,L1NormRegularizedNMF,salt_and_pepper,0.1,512,0.09416648771942335,0.5916666666666667,0.7756519135023469
YaleB,L1NormRegularizedNMF,salt_and_pepper,0.1,512,0.08175527986280912,0.1427255985267035,0.21063700969433655
ORL,L1NormRegularizedNMF,salt_and_pepper,0.1,3407,0.08959412933811771,0.6638888888888889,0.8231946380559858
YaleB,L1NormRegularizedNMF,salt_and_pepper,0.1,3407,0.07676681034538753,0.15561694290976058,0.23717373805483027
ORL,L1NormRegularizedNMF,block,10,0,0.08231621482762232,0.6888888888888889,0.8193897750545572
YaleB,L1NormRegularizedNMF,block,10,0,0.11265505637160866,0.12292817679558012,0.18299617557257813
ORL,L1NormRegularizedNMF,block,10,42,0.08305305000056372,0.6611111111111111,0.8170926202098194
YaleB,L1NormRegularizedNMF,block,10,42,0.1193655615104728,0.11970534069981584,0.17554257405869092
ORL,L1NormRegularizedNMF,block,10,99,0.08309078845017219,0.6861111111111111,0.8259658919813097
YaleB,L1NormRegularizedNMF,block,10,99,0.11309622308430096,0.10543278084714548,0.1517780526079494
ORL,L1NormRegularizedNMF,block,10,512,0.08277125541276005,0.6333333333333333,0.8009208034172235
YaleB,L1NormRegularizedNMF,block,10,512,0.11424649050334891,0.13720073664825047,0.1919580943648922
ORL,L1NormRegularizedNMF,block,10,3407,0.08259738244676447,0.6333333333333333,0.7948410055455781
YaleB,L1NormRegularizedNMF,block,10,3407,0.10280045839580651,0.11970534069981584,0.1629100966741468
ORL,L1NormRegularizedNMF,block,15,0,0.10908068322451114,0.6027777777777777,0.7716744972418079
YaleB,L1NormRegularizedNMF,block,15,0,0.2551890548365533,0.08195211786372007,0.08327991699614726
ORL,L1NormRegularizedNMF,block,15,42,0.11665575074752675,0.6027777777777777,0.7594083669816469
YaleB,L1NormRegularizedNMF,block,15,42,0.2543489022912273,0.07136279926335175,0.07440947222012091
ORL,L1NormRegularizedNMF,block,15,99,0.1069899915102105,0.5888888888888889,0.7599216623079917
YaleB,L1NormRegularizedNMF,block,15,99,0.25472006271585984,0.07642725598526703,0.07521601259773807
ORL,L1NormRegularizedNMF,block,15,512,0.10443238716990151,0.5555555555555556,0.7462180572952255
YaleB,L1NormRegularizedNMF,block,15,512,0.25288562223671085,0.07550644567219153,0.06145145127304526
ORL,L1NormRegularizedNMF,block,15,3407,0.11489318866235634,0.5416666666666666,0.7192879058101094
YaleB,L1NormRegularizedNMF,block,15,3407,0.25302921211550056,0.07780847145488029,0.07095041498932585
